time ./waf --run "tor-example --use-nsc=false" | tee tor-example.txt

Waf: Entering directory `/home/ns3nsc/nstor/build'
Waf: Leaving directory `/home/ns3nsc/nstor/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.068s)
1.5 249000 0 373500 145416 249000 18426 
1.51 249000 0 373500 145416 249000 27390 
1.52 249000 0 373500 145416 249000 27390 
1.53 249000 0 373500 157368 249000 27390 
1.54 249000 0 373500 157368 249000 27390 
1.55 249000 0 373500 157368 249000 41334 
1.56 249000 0 373500 157368 249000 41334 
1.57 249000 0 373500 157368 249000 41334 
1.58 249000 0 373500 157368 249000 41334 
1.59 249000 0 373500 157368 249000 61752 
1.6 249000 0 373500 157368 249000 61752 
1.61 249000 0 398400 157368 273900 61752 
1.62 249000 0 398400 157368 273900 61752 
1.63 249000 0 398400 168822 273900 73704 
1.64 249000 0 398400 168822 273900 73704 
1.65 249000 0 398400 168822 273900 73704 
1.66 249000 0 398400 168822 273900 73704 
1.67 249000 0 398400 168822 273900 73704 
1.68 249000 0 398400 168822 273900 73704 
1.69 249000 0 398400 168822 273900 73704 
1.7 249000 0 398400 168822 273900 73704 
1.71 249000 0 398400 168822 298800 73704 
1.72 249000 0 398400 168822 298800 73704 
1.73 249000 0 398400 179778 298800 86652 
1.74 249000 0 398400 179778 298800 86652 
1.75 249000 0 398400 179778 298800 86652 
1.76 249000 0 398400 179778 298800 86652 
1.77 249000 0 398400 179778 298800 86652 
1.78 249000 0 398400 179778 298800 86652 
1.79 249000 0 398400 179778 298800 86652 
1.8 249000 0 398400 179778 298800 86652 
1.81 249000 0 423300 179778 323700 86652 
1.82 249000 0 423300 179778 323700 86652 
1.83 249000 0 423300 191232 323700 98604 
1.84 249000 0 423300 191232 323700 98604 
1.85 249000 0 423300 191232 323700 98604 
1.86 249000 0 423300 191232 323700 98604 
1.87 249000 0 423300 191232 323700 98604 
1.88 249000 0 423300 191232 323700 98604 
1.89 249000 0 423300 191232 323700 98604 
1.9 249000 0 423300 191232 323700 98604 
1.91 249000 0 423300 191232 323700 98604 
1.92 249000 0 423300 191232 323700 98604 
1.93 249000 0 423300 202188 323700 111552 
1.94 249000 0 423300 202188 323700 111552 
1.95 249000 0 423300 202188 323700 111552 
1.96 249000 0 423300 202188 323700 111552 
1.97 249000 0 423300 202188 323700 111552 
1.98 249000 0 423300 202188 323700 111552 
1.99 249000 0 423300 202188 323700 111552 
2 249000 0 423300 202188 323700 111552 
2.01 249000 0 448200 202188 348600 111552 
2.02 249000 0 448200 202188 348600 111552 
2.03 249000 0 448200 213642 348600 123504 
2.04 249000 0 448200 213642 348600 123504 
2.05 249000 0 448200 213642 348600 123504 
2.06 249000 0 448200 213642 348600 123504 
2.07 249000 0 448200 213642 348600 123504 
2.08 249000 0 448200 213642 348600 123504 
2.09 249000 0 448200 213642 348600 123504 
2.1 249000 0 448200 213642 348600 123504 
2.11 249000 0 448200 213642 348600 123504 
2.12 249000 0 448200 213642 348600 123504 
2.13 249000 498 448200 224598 348600 136452 
2.14 249000 498 448200 224598 348600 136452 
2.15 249000 498 448200 224598 348600 136452 
2.16 249000 498 448200 224598 348600 136452 
2.17 249000 498 448200 224598 348600 136452 
2.18 249000 498 448200 224598 348600 136452 
2.19 249000 498 448200 224598 348600 136452 
2.2 249000 498 448200 224598 348600 136452 
2.21 249000 498 473100 224598 373500 136452 
2.22 249000 498 473100 224598 373500 136452 
2.23 249000 498 473100 230574 373500 148404 
2.24 249000 498 473100 230574 373500 148404 
2.25 249000 498 473100 230574 373500 148404 
2.26 249000 498 473100 230574 373500 148404 
2.27 249000 498 473100 230574 373500 148404 
2.28 249000 498 473100 230574 373500 148404 
2.29 249000 498 473100 230574 373500 148404 
2.3 249000 498 473100 230574 373500 148404 
2.31 249000 498 473100 230574 373500 148404 
2.32 249000 498 473100 230574 373500 148404 
2.33 249000 498 473100 236052 373500 161352 
2.34 249000 498 473100 236052 373500 161352 
2.35 249000 498 473100 236052 373500 161352 
2.36 249000 498 473100 236052 373500 161352 
2.37 249000 996 473100 236052 373500 161352 
2.38 249000 996 473100 236052 373500 161352 
2.39 249000 996 473100 236052 373500 161352 
2.4 249000 996 473100 236052 373500 161352 
2.41 249000 996 473100 236052 398400 161352 
2.42 249000 996 473100 236052 398400 161352 
2.43 249000 996 473100 242028 398400 173802 
2.44 249000 996 473100 242028 398400 173802 
2.45 249000 996 473100 242028 398400 173802 
2.46 249000 996 473100 242028 398400 173802 
2.47 249000 996 473100 242028 398400 173802 
2.48 249000 996 473100 242028 398400 173802 
